x:  0.7 , xnext:  0.63
x:  0.646400324657 , xnext:  0.685700834821
x:  0.685700834821 , xnext:  0.64654559984
x:  0.64654559984 , xnext:  0.685573161502
x:  0.685573161502 , xnext:  0.64668780519
x:  0.64668780519 , xnext:  0.685448063426
x:  0.685448063426 , xnext:  0.646827047315
x:  0.646827047315 , xnext:  0.68532545453
x:  0.68532545453 , xnext:  0.64696342771
x:  0.64696342771 , xnext:  0.685205252748
x:  0.685205252748 , xnext:  0.647097043064
x:  0.647097043064 , xnext:  0.685087379765
x:  0.685087379765 , xnext:  0.647227985555
x:  0.647227985555 , xnext:  0.684971760808
x:  0.684971760808 , xnext:  0.64735634311
x:  0.64735634311 , xnext:  0.684858324436
x:  0.684858324436 , xnext:  0.647482199661
x:  0.647482199661 , xnext:  0.68474700235
x:  0.68474700235 , xnext:  0.647605635368
x:  0.647605635368 , xnext:  0.684637729223
x:  0.684637729223 , xnext:  0.647726726843
x:  0.647726726843 , xnext:  0.684530442529
x:  0.684530442529 , xnext:  0.64784554734
x:  0.64784554734 , xnext:  0.684425082395
x:  0.684425082395 , xnext:  0.647962166951
x:  0.647962166951 , xnext:  0.684321591454
x:  0.684321591454 , xnext:  0.648076652772
x:  0.648076652772 , xnext:  0.684219914712
x:  0.684219914712 , xnext:  0.648189069071
x:  0.648189069071 , xnext:  0.684119999424
x:  0.684119999424 , xnext:  0.648299477437
x:  0.648299477437 , xnext:  0.684021794976
x:  0.684021794976 , xnext:  0.648407936921
x:  0.648407936921 , xnext:  0.683925252776
x:  0.683925252776 , xnext:  0.648514504174
x:  0.648514504174 , xnext:  0.68383032615
x:  0.68383032615 , xnext:  0.648619233562
x:  0.648619233562 , xnext:  0.683736970246
x:  0.683736970246 , xnext:  0.648722177295
x:  0.648722177295 , xnext:  0.683645141942
x:  0.683645141942 , xnext:  0.648823385523
x:  0.648823385523 , xnext:  0.683554799764
x:  0.683554799764 , xnext:  0.64892290645
x:  0.64892290645 , xnext:  0.683465903803
x:  0.683465903803 , xnext:  0.649020786425
x:  0.649020786425 , xnext:  0.68337841564
x:  0.68337841564 , xnext:  0.649117070032
x:  0.649117070032 , xnext:  0.683292298275
x:  0.683292298275 , xnext:  0.649211800179
x:  0.649211800179 , xnext:  0.683207516062
x:  0.683207516062 , xnext:  0.649305018175
x:  0.649305018175 , xnext:  0.683124034643
x:  0.683124034643 , xnext:  0.649396763808
x:  0.649396763808 , xnext:  0.683041820891
x:  0.683041820891 , xnext:  0.649487075415
x:  0.649487075415 , xnext:  0.682960842852
x:  0.682960842852 , xnext:  0.649575989949
x:  0.649575989949 , xnext:  0.682881069692
x:  0.682881069692 , xnext:  0.649663543045
x:  0.649663543045 , xnext:  0.68280247165
x:  0.68280247165 , xnext:  0.649749769076
x:  0.649749769076 , xnext:  0.682725019985
x:  0.682725019985 , xnext:  0.649834701214
x:  0.649834701214 , xnext:  0.682648686936
x:  0.682648686936 , xnext:  0.649918371482
x:  0.649918371482 , xnext:  0.682573445677
x:  0.682573445677 , xnext:  0.650000810801
x:  0.650000810801 , xnext:  0.682499270277
x:  0.682499270277 , xnext:  0.650082049045
x:  0.650082049045 , xnext:  0.682426135663
x:  0.682426135663 , xnext:  0.650162115081
x:  0.650162115081 , xnext:  0.682354017583
x:  0.682354017583 , xnext:  0.650241036814
x:  0.650241036814 , xnext:  0.682282892572
x:  0.682282892572 , xnext:  0.650318841227
x:  0.650318841227 , xnext:  0.682212737916
x:  0.682212737916 , xnext:  0.650395554423
x:  0.650395554423 , xnext:  0.682143531629
x:  0.682143531629 , xnext:  0.650471201657
x:  0.650471201657 , xnext:  0.682075252416
x:  0.682075252416 , xnext:  0.650545807373
x:  0.650545807373 , xnext:  0.682007879647
x:  0.682007879647 , xnext:  0.650619395239
x:  0.650619395239 , xnext:  0.681941393333
x:  0.681941393333 , xnext:  0.650691988176
x:  0.650691988176 , xnext:  0.681875774099
x:  0.681875774099 , xnext:  0.650763608388
x:  0.650763608388 , xnext:  0.681811003158
x:  0.681811003158 , xnext:  0.650834277392
x:  0.650834277392 , xnext:  0.681747062291
x:  0.681747062291 , xnext:  0.650904016046
x:  0.650904016046 , xnext:  0.681683933823
x:  0.681683933823 , xnext:  0.650972844571
x:  0.650972844571 , xnext:  0.681621600606
x:  0.681621600606 , xnext:  0.65104078258
x:  0.65104078258 , xnext:  0.681560045993
x:  0.681560045993 , xnext:  0.651107849097
x:  0.651107849097 , xnext:  0.681499253824
x:  0.681499253824 , xnext:  0.651174062584
x:  0.651174062584 , xnext:  0.681439208405
x:  0.681439208405 , xnext:  0.65123944096
x:  0.65123944096 , xnext:  0.681379894495
x:  0.681379894495 , xnext:  0.651304001619
x:  0.651304001619 , xnext:  0.681321297282
x:  0.681321297282 , xnext:  0.651367761456
x:  0.651367761456 , xnext:  0.681263402375
x:  0.681263402375 , xnext:  0.651430736878
x:  0.651430736878 , xnext:  0.681206195786
x:  0.681206195786 , xnext:  0.651492943826
x:  0.651492943826 , xnext:  0.681149663912
x:  0.681149663912 , xnext:  0.651554397793
x:  0.651554397793 , xnext:  0.681093793529
x:  0.681093793529 , xnext:  0.651615113836
x:  0.651615113836 , xnext:  0.681038571769
x:  0.681038571769 , xnext:  0.651675106595
x:  0.651675106595 , xnext:  0.680983986118
x:  0.680983986118 , xnext:  0.651734390307
x:  0.651734390307 , xnext:  0.680930024395
x:  0.680930024395 , xnext:  0.651792978817
x:  0.651792978817 , xnext:  0.680876674745
x:  0.680876674745 , xnext:  0.651850885599
x:  0.651850885599 , xnext:  0.680823925628
x:  0.680823925628 , xnext:  0.651908123761
x:  0.651908123761 , xnext:  0.680771765806
x:  0.680771765806 , xnext:  0.651964706062
x:  0.651964706062 , xnext:  0.680720184334
x:  0.680720184334 , xnext:  0.652020644923
x:  0.652020644923 , xnext:  0.680669170552
x:  0.680669170552 , xnext:  0.652075952436
x:  0.652075952436 , xnext:  0.680618714072
x:  0.680618714072 , xnext:  0.652130640381
x:  0.652130640381 , xnext:  0.680568804772
x:  0.680568804772 , xnext:  0.65218472023
x:  0.65218472023 , xnext:  0.680519432786
x:  0.680519432786 , xnext:  0.65223820316
x:  0.65223820316 , xnext:  0.680470588496
x:  0.680470588496 , xnext:  0.652291100064
x:  0.652291100064 , xnext:  0.680422262524
x:  0.680422262524 , xnext:  0.652343421557
x:  0.652343421557 , xnext:  0.680374445724
x:  0.680374445724 , xnext:  0.652395177989
x:  0.652395177989 , xnext:  0.680327129177
x:  0.680327129177 , xnext:  0.652446379448
x:  0.652446379448 , xnext:  0.68028030418
x:  0.68028030418 , xnext:  0.652497035775
x:  0.652497035775 , xnext:  0.68023396224
x:  0.68023396224 , xnext:  0.652547156566
x:  0.652547156566 , xnext:  0.680188095071
x:  0.680188095071 , xnext:  0.652596751184
x:  0.652596751184 , xnext:  0.680142694584
x:  0.680142694584 , xnext:  0.652645828764
x:  0.652645828764 , xnext:  0.680097752883
x:  0.680097752883 , xnext:  0.65269439822
x:  0.65269439822 , xnext:  0.680053262257
x:  0.680053262257 , xnext:  0.652742468252
x:  0.652742468252 , xnext:  0.680009215177
x:  0.680009215177 , xnext:  0.652790047354
x:  0.652790047354 , xnext:  0.679965604289
x:  0.679965604289 , xnext:  0.652837143819
x:  0.652837143819 , xnext:  0.679922422408
x:  0.679922422408 , xnext:  0.652883765745
x:  0.652883765745 , xnext:  0.679879662515
x:  0.679879662515 , xnext:  0.65292992104
x:  0.65292992104 , xnext:  0.679837317752
x:  0.679837317752 , xnext:  0.652975617432
x:  0.652975617432 , xnext:  0.679795381414
x:  0.679795381414 , xnext:  0.653020862466
x:  0.653020862466 , xnext:  0.67975384695
x:  0.67975384695 , xnext:  0.65306566352
x:  0.65306566352 , xnext:  0.679712707954
x:  0.679712707954 , xnext:  0.6531100278
x:  0.6531100278 , xnext:  0.679671958161
x:  0.679671958161 , xnext:  0.653153962351
x:  0.653153962351 , xnext:  0.679631591448
x:  0.679631591448 , xnext:  0.653197474061
x:  0.653197474061 , xnext:  0.679591601824
x:  0.679591601824 , xnext:  0.653240569663
x:  0.653240569663 , xnext:  0.679551983428
x:  0.679551983428 , xnext:  0.653283255741
x:  0.653283255741 , xnext:  0.679512730528
x:  0.679512730528 , xnext:  0.653325538735
x:  0.653325538735 , xnext:  0.679473837515
x:  0.679473837515 , xnext:  0.653367424943
x:  0.653367424943 , xnext:  0.679435298899
x:  0.679435298899 , xnext:  0.653408920527
x:  0.653408920527 , xnext:  0.679397109308
x:  0.679397109308 , xnext:  0.653450031516
x:  0.653450031516 , xnext:  0.679359263483
x:  0.679359263483 , xnext:  0.653490763808
x:  0.653490763808 , xnext:  0.679321756277
x:  0.679321756277 , xnext:  0.653531123177
x:  0.653531123177 , xnext:  0.679284582648
x:  0.679284582648 , xnext:  0.653571115275
x:  0.653571115275 , xnext:  0.67924773766
x:  0.67924773766 , xnext:  0.653610745631
x:  0.653610745631 , xnext:  0.67921121648
x:  0.67921121648 , xnext:  0.653650019663
x:  0.653650019663 , xnext:  0.679175014372
x:  0.679175014372 , xnext:  0.653688942674
x:  0.653688942674 , xnext:  0.679139126699
x:  0.679139126699 , xnext:  0.653727519856
x:  0.653727519856 , xnext:  0.679103548916
x:  0.679103548916 , xnext:  0.653765756297
x:  0.653765756297 , xnext:  0.679068276572
x:  0.679068276572 , xnext:  0.653803656977
x:  0.653803656977 , xnext:  0.679033305301
x:  0.679033305301 , xnext:  0.653841226779
x:  0.653841226779 , xnext:  0.67899863083
x:  0.67899863083 , xnext:  0.653878470483
x:  0.653878470483 , xnext:  0.678964248965
x:  0.678964248965 , xnext:  0.653915392777
x:  0.653915392777 , xnext:  0.678930155599
x:  0.678930155599 , xnext:  0.653951998252
x:  0.653951998252 , xnext:  0.678896346703
x:  0.678896346703 , xnext:  0.653988291409
x:  0.653988291409 , xnext:  0.678862818327
x:  0.678862818327 , xnext:  0.654024276661
x:  0.654024276661 , xnext:  0.678829566597
x:  0.678829566597 , xnext:  0.654059958332
x:  0.654059958332 , xnext:  0.678796587716
x:  0.678796587716 , xnext:  0.654095340663
x:  0.654095340663 , xnext:  0.678763877958
x:  0.678763877958 , xnext:  0.654130427812
x:  0.654130427812 , xnext:  0.678731433667
x:  0.678731433667 , xnext:  0.654165223858
x:  0.654165223858 , xnext:  0.678699251259
x:  0.678699251259 , xnext:  0.654199732799
x:  0.654199732799 , xnext:  0.678667327214
x:  0.678667327214 , xnext:  0.654233958558
x:  0.654233958558 , xnext:  0.678635658082
x:  0.678635658082 , xnext:  0.654267904985
x:  0.654267904985 , xnext:  0.678604240475
x:  0.678604240475 , xnext:  0.654301575853
x:  0.654301575853 , xnext:  0.678573071068
x:  0.678573071068 , xnext:  0.654334974868
x:  0.654334974868 , xnext:  0.678542146597
x:  0.678542146597 , xnext:  0.654368105665
x:  0.654368105665 , xnext:  0.67851146386
x:  0.67851146386 , xnext:  0.654400971812
x:  0.654400971812 , xnext:  0.678481019711
x:  0.678481019711 , xnext:  0.654433576809
x:  0.654433576809 , xnext:  0.678450811062
x:  0.678450811062 , xnext:  0.654465924094
x:  0.654465924094 , xnext:  0.678420834881
x:  0.678420834881 , xnext:  0.654498017041
x:  0.654498017041 , xnext:  0.678391088191
x:  0.678391088191 , xnext:  0.654529858962
x:  0.654529858962 , xnext:  0.678361568068
x:  0.678361568068 , xnext:  0.654561453109
x:  0.654561453109 , xnext:  0.678332271638
x:  0.678332271638 , xnext:  0.654592802677
x:  0.654592802677 , xnext:  0.678303196082
x:  0.678303196082 , xnext:  0.654623910801
x:  0.654623910801 , xnext:  0.678274338626
x:  0.678274338626 , xnext:  0.654654780563
x:  0.654654780563 , xnext:  0.678245696547
x:  0.678245696547 , xnext:  0.654685414987
x:  0.654685414987 , xnext:  0.678217267171
x:  0.678217267171 , xnext:  0.654715817047
x:  0.654715817047 , xnext:  0.678189047867
x:  0.678189047867 , xnext:  0.654745989661
x:  0.654745989661 , xnext:  0.678161036051
x:  0.678161036051 , xnext:  0.654775935699
x:  0.654775935699 , xnext:  0.678133229185
x:  0.678133229185 , xnext:  0.65480565798
x:  0.65480565798 , xnext:  0.678105624772
x:  0.678105624772 , xnext:  0.654835159274
x:  0.654835159274 , xnext:  0.678078220358
x:  0.678078220358 , xnext:  0.654864442302
x:  0.654864442302 , xnext:  0.678051013531
x:  0.678051013531 , xnext:  0.654893509741
x:  0.654893509741 , xnext:  0.67802400192
x:  0.67802400192 , xnext:  0.654922364221
x:  0.654922364221 , xnext:  0.677997183192
x:  0.677997183192 , xnext:  0.654951008327
x:  0.654951008327 , xnext:  0.677970555055
x:  0.677970555055 , xnext:  0.6549794446
x:  0.6549794446 , xnext:  0.677944115255
x:  0.677944115255 , xnext:  0.655007675539
x:  0.655007675539 , xnext:  0.677917861572
x:  0.677917861572 , xnext:  0.655035703601
x:  0.655035703601 , xnext:  0.677891791827
x:  0.677891791827 , xnext:  0.655063531202
x:  0.655063531202 , xnext:  0.677865903874
x:  0.677865903874 , xnext:  0.655091160717
x:  0.655091160717 , xnext:  0.677840195602
x:  0.677840195602 , xnext:  0.655118594485
x:  0.655118594485 , xnext:  0.677814664935
x:  0.677814664935 , xnext:  0.655145834802
x:  0.655145834802 , xnext:  0.677789309831
x:  0.677789309831 , xnext:  0.65517288393
x:  0.65517288393 , xnext:  0.677764128279
x:  0.677764128279 , xnext:  0.655199744092
x:  0.655199744092 , xnext:  0.677739118302
x:  0.677739118302 , xnext:  0.655226417476
x:  0.655226417476 , xnext:  0.677714277953
x:  0.677714277953 , xnext:  0.655252906235
x:  0.655252906235 , xnext:  0.677689605316
x:  0.677689605316 , xnext:  0.655279212487
x:  0.655279212487 , xnext:  0.677665098508
x:  0.677665098508 , xnext:  0.655305338317
x:  0.655305338317 , xnext:  0.677640755671
x:  0.677640755671 , xnext:  0.655331285774
x:  0.655331285774 , xnext:  0.67761657498
x:  0.67761657498 , xnext:  0.655357056878
x:  0.655357056878 , xnext:  0.677592554635
x:  0.677592554635 , xnext:  0.655382653615
x:  0.655382653615 , xnext:  0.677568692867
x:  0.677568692867 , xnext:  0.65540807794
x:  0.65540807794 , xnext:  0.677544987933
x:  0.677544987933 , xnext:  0.65543333178
x:  0.65543333178 , xnext:  0.677521438115
x:  0.677521438115 , xnext:  0.655458417029
x:  0.655458417029 , xnext:  0.677498041725
x:  0.677498041725 , xnext:  0.655483335551
x:  0.655483335551 , xnext:  0.677474797097
x:  0.677474797097 , xnext:  0.655508089186
x:  0.655508089186 , xnext:  0.677451702593
x:  0.677451702593 , xnext:  0.65553267974
x:  0.65553267974 , xnext:  0.677428756599
x:  0.677428756599 , xnext:  0.655557108996
x:  0.655557108996 , xnext:  0.677405957523
x:  0.677405957523 , xnext:  0.655581378706
x:  0.655581378706 , xnext:  0.6773833038
x:  0.6773833038 , xnext:  0.655605490599
x:  0.655605490599 , xnext:  0.677360793886
x:  0.677360793886 , xnext:  0.655629446376
x:  0.655629446376 , xnext:  0.677338426262
x:  0.677338426262 , xnext:  0.655653247713
x:  0.655653247713 , xnext:  0.677316199429
x:  0.677316199429 , xnext:  0.65567689626
x:  0.65567689626 , xnext:  0.677294111912
x:  0.677294111912 , xnext:  0.655700393644
x:  0.655700393644 , xnext:  0.677272162258
x:  0.677272162258 , xnext:  0.655723741465
x:  0.655723741465 , xnext:  0.677250349032
x:  0.677250349032 , xnext:  0.655746941304
x:  0.655746941304 , xnext:  0.677228670823
x:  0.677228670823 , xnext:  0.655769994715
x:  0.655769994715 , xnext:  0.67720712624
x:  0.67720712624 , xnext:  0.655792903229
x:  0.655792903229 , xnext:  0.67718571391
x:  0.67718571391 , xnext:  0.655815668359
x:  0.655815668359 , xnext:  0.677164432482
x:  0.677164432482 , xnext:  0.65583829159
x:  0.65583829159 , xnext:  0.677143280623
x:  0.677143280623 , xnext:  0.655860774391
x:  0.655860774391 , xnext:  0.677122257019
x:  0.677122257019 , xnext:  0.655883118205
x:  0.655883118205 , xnext:  0.677101360376
x:  0.677101360376 , xnext:  0.655905324459
x:  0.655905324459 , xnext:  0.677080589416
x:  0.677080589416 , xnext:  0.655927394556
x:  0.655927394556 , xnext:  0.677059942881
x:  0.677059942881 , xnext:  0.655949329881
x:  0.655949329881 , xnext:  0.677039419529
x:  0.677039419529 , xnext:  0.655971131799
x:  0.655971131799 , xnext:  0.677019018136
x:  0.677019018136 , xnext:  0.655992801654
x:  0.655992801654 , xnext:  0.676998737496
x:  0.676998737496 , xnext:  0.656014340774
x:  0.656014340774 , xnext:  0.676978576418
x:  0.676978576418 , xnext:  0.656035750467
x:  0.656035750467 , xnext:  0.676958533729
x:  0.676958533729 , xnext:  0.656057032022
x:  0.656057032022 , xnext:  0.67693860827
x:  0.67693860827 , xnext:  0.656078186711
x:  0.656078186711 , xnext:  0.676918798899
x:  0.676918798899 , xnext:  0.656099215788
x:  0.656099215788 , xnext:  0.676899104491
x:  0.676899104491 , xnext:  0.656120120491
x:  0.656120120491 , xnext:  0.676879523934
x:  0.676879523934 , xnext:  0.656140902039
x:  0.656140902039 , xnext:  0.676860056131
x:  0.676860056131 , xnext:  0.656161561636
x:  0.656161561636 , xnext:  0.676840700003
x:  0.676840700003 , xnext:  0.656182100468
x:  0.656182100468 , xnext:  0.67682145448
x:  0.67682145448 , xnext:  0.656202519706
x:  0.656202519706 , xnext:  0.676802318512
x:  0.676802318512 , xnext:  0.656222820506
x:  0.656222820506 , xnext:  0.676783291059
x:  0.676783291059 , xnext:  0.656243004007
x:  0.656243004007 , xnext:  0.676764371097
x:  0.676764371097 , xnext:  0.656263071332
x:  0.656263071332 , xnext:  0.676745557613
x:  0.676745557613 , xnext:  0.656283023592
x:  0.656283023592 , xnext:  0.676726849611
x:  0.676726849611 , xnext:  0.65630286188
x:  0.65630286188 , xnext:  0.676708246105
x:  0.676708246105 , xnext:  0.656322587276
x:  0.656322587276 , xnext:  0.676689746122
x:  0.676689746122 , xnext:  0.656342200846
x:  0.656342200846 , xnext:  0.676671348704
x:  0.676671348704 , xnext:  0.656361703641
x:  0.656361703641 , xnext:  0.676653052903
x:  0.676653052903 , xnext:  0.6563810967
x:  0.6563810967 , xnext:  0.676634857785
x:  0.676634857785 , xnext:  0.656400381046
x:  0.656400381046 , xnext:  0.676616762426
x:  0.676616762426 , xnext:  0.656419557691
x:  0.656419557691 , xnext:  0.676598765916
x:  0.676598765916 , xnext:  0.656438627631
x:  0.656438627631 , xnext:  0.676580867355
x:  0.676580867355 , xnext:  0.656457591853
x:  0.656457591853 , xnext:  0.676563065855
x:  0.676563065855 , xnext:  0.656476451328
x:  0.656476451328 , xnext:  0.67654536054
x:  0.67654536054 , xnext:  0.656495207016
x:  0.656495207016 , xnext:  0.676527750543
x:  0.676527750543 , xnext:  0.656513859864
x:  0.656513859864 , xnext:  0.676510235011
x:  0.676510235011 , xnext:  0.656532410809
x:  0.656532410809 , xnext:  0.676492813099
x:  0.676492813099 , xnext:  0.656550860773
x:  0.656550860773 , xnext:  0.676475483973
x:  0.676475483973 , xnext:  0.656569210669
x:  0.656569210669 , xnext:  0.676458246811
x:  0.676458246811 , xnext:  0.656587461397
x:  0.656587461397 , xnext:  0.6764411008
x:  0.6764411008 , xnext:  0.656605613846
x:  0.656605613846 , xnext:  0.676424045136
x:  0.676424045136 , xnext:  0.656623668893
x:  0.656623668893 , xnext:  0.676407079027
x:  0.676407079027 , xnext:  0.656641627407
x:  0.656641627407 , xnext:  0.67639020169
x:  0.67639020169 , xnext:  0.656659490244
x:  0.656659490244 , xnext:  0.67637341235
x:  0.67637341235 , xnext:  0.656677258248
x:  0.656677258248 , xnext:  0.676356710243
x:  0.676356710243 , xnext:  0.656694932256
x:  0.656694932256 , xnext:  0.676340094615
x:  0.676340094615 , xnext:  0.656712513093
x:  0.656712513093 , xnext:  0.67632356472
x:  0.67632356472 , xnext:  0.656730001573
x:  0.656730001573 , xnext:  0.676307119821
x:  0.676307119821 , xnext:  0.656747398502
x:  0.656747398502 , xnext:  0.676290759189
x:  0.676290759189 , xnext:  0.656764704674
x:  0.656764704674 , xnext:  0.676274482106
x:  0.676274482106 , xnext:  0.656781920875
x:  0.656781920875 , xnext:  0.67625828786
x:  0.67625828786 , xnext:  0.656799047882
x:  0.656799047882 , xnext:  0.67624217575
x:  0.67624217575 , xnext:  0.656816086461
x:  0.656816086461 , xnext:  0.676226145081
x:  0.676226145081 , xnext:  0.656833037369
x:  0.656833037369 , xnext:  0.676210195169
x:  0.676210195169 , xnext:  0.656849901356
x:  0.656849901356 , xnext:  0.676194325334
x:  0.676194325334 , xnext:  0.65686667916
x:  0.65686667916 , xnext:  0.676178534908
x:  0.676178534908 , xnext:  0.656883371513
x:  0.656883371513 , xnext:  0.676162823228
x:  0.676162823228 , xnext:  0.656899979137
x:  0.656899979137 , xnext:  0.67614718964
x:  0.67614718964 , xnext:  0.656916502746
x:  0.656916502746 , xnext:  0.676131633498
x:  0.676131633498 , xnext:  0.656932943044
x:  0.656932943044 , xnext:  0.676116154163
x:  0.676116154163 , xnext:  0.656949300729
x:  0.656949300729 , xnext:  0.676100751002
x:  0.676100751002 , xnext:  0.656965576489
x:  0.656965576489 , xnext:  0.676085423392
x:  0.676085423392 , xnext:  0.656981771006
x:  0.656981771006 , xnext:  0.676070170715
x:  0.676070170715 , xnext:  0.656997884953
x:  0.656997884953 , xnext:  0.676054992361
x:  0.676054992361 , xnext:  0.657013918994
x:  0.657013918994 , xnext:  0.676039887726
x:  0.676039887726 , xnext:  0.657029873788
x:  0.657029873788 , xnext:  0.676024856214
x:  0.676024856214 , xnext:  0.657045749984
x:  0.657045749984 , xnext:  0.676009897236
x:  0.676009897236 , xnext:  0.657061548225
x:  0.657061548225 , xnext:  0.675995010207
x:  0.675995010207 , xnext:  0.657077269147
x:  0.657077269147 , xnext:  0.675980194552
x:  0.675980194552 , xnext:  0.657092913376
x:  0.657092913376 , xnext:  0.675965449701
x:  0.675965449701 , xnext:  0.657108481534
x:  0.657108481534 , xnext:  0.67595077509
x:  0.67595077509 , xnext:  0.657123974236
x:  0.657123974236 , xnext:  0.675936170161
x:  0.675936170161 , xnext:  0.657139392087
x:  0.657139392087 , xnext:  0.675921634363
x:  0.675921634363 , xnext:  0.657154735689
x:  0.657154735689 , xnext:  0.675907167152
x:  0.675907167152 , xnext:  0.657170005634
x:  0.657170005634 , xnext:  0.675892767987
x:  0.675892767987 , xnext:  0.657185202509
x:  0.657185202509 , xnext:  0.675878436336
x:  0.675878436336 , xnext:  0.657200326896
x:  0.657200326896 , xnext:  0.675864171672
x:  0.675864171672 , xnext:  0.657215379367
x:  0.657215379367 , xnext:  0.675849973472
x:  0.675849973472 , xnext:  0.65723036049
x:  0.65723036049 , xnext:  0.67583584122
x:  0.67583584122 , xnext:  0.657245270827
x:  0.657245270827 , xnext:  0.675821774408
x:  0.675821774408 , xnext:  0.657260110932
x:  0.657260110932 , xnext:  0.675807772529
x:  0.675807772529 , xnext:  0.657274881356
x:  0.657274881356 , xnext:  0.675793835084
x:  0.675793835084 , xnext:  0.65728958264
x:  0.65728958264 , xnext:  0.675779961579
x:  0.675779961579 , xnext:  0.657304215322
x:  0.657304215322 , xnext:  0.675766151526
x:  0.675766151526 , xnext:  0.657318779933
x:  0.657318779933 , xnext:  0.675752404441
x:  0.675752404441 , xnext:  0.657333277
x:  0.657333277 , xnext:  0.675738719846
